Variável,Dado
Resultados," Os trabalhos realizados, até o momento, permitiram ao aluno obter um maior domínio da plataforma ARM, sobretudo no entendimento e codificação das interrupções da plataforma, que eram necessárias para a leitura de múltiplos periféricos. O aluno desenvolveu a comunicação com o GPS e, em conjunto com o aluno Willian Vilarino Leite, codificou a interface I2C da unidade inercial e está trabalhando nas rotinas de escrita e leitura da memória flash. A etapa de codificação está perto de ser concluída e deve ser finalizada dentro do prazo deste trabalho de iniciação científica."
Conclusão," Os trabalhos realizados, até o momento, permitiram ao aluno obter um maior domínio da plataforma ARM, sobretudo no entendimento e codificação das interrupções da plataforma, que eram necessárias para a leitura de múltiplos periféricos. O aluno desenvolveu a comunicação com o GPS e, em conjunto com o aluno Willian Vilarino Leite, codificou a interface I2C da unidade inercial e está trabalhando nas rotinas de escrita e leitura da memória flash. A etapa de codificação está perto de ser concluída e deve ser finalizada dentro do prazo deste trabalho de iniciação científica."
Palavras-Chave," ARM, MiniVANT, GPS, IMU"
Colaboradores, Professores: Marcelino Monteiro de Andrade e Fábio Macêdo Mendes. Aluno: Willian Vilarino Leite
Estudo sobre a figura do bufão no romance LHomme qui rit.,TituloTrabalho
Bolsista, Guilherme de Sousa Santos
Unidade Acadêmica, Teoria Literária e Literatura 
Instituição, UnB
Orientador (a), JUNIA REGINA DE FARIA BARRETO
Introdução," O cerne desta pesquisa foi o estabelecimento de uma cartografia da figura do bufão nos textos literários e pictóricos do escritor francês Victor Hugo. A partir do projeto de iniciação científica Estudo sobre o imaginário hugoano em torno de Lhomme qui rit: do texto literário ao acervo pictórico, que desenvolvemos em 2010/2011, observou-se que o bufão ocupa lugar central no imaginário hugoano. Em um período que se inicia com o romance Bug-Jargal (1826) e encerra-se com o romance LHomme qui rit (1869), esta figura irrompe as barreiras imagéticas e materializa-se em diversas obras do autor. Assim, procuramos analisar e compreender como este imaginário transpõe o texto literário rumo ao texto pictórico e como esta figura integra um projeto literário maior, embasado na estética do grotesco. Buscamos ainda desvendar quais as convergências e divergências entre a literatura e a pintura quanto à representação do imaginário hugoano em torno da representação da figura do bufão no romance."
Metodologia," A partir da leitura das obras Bug-Jargal (1819), Han dIslande (romance de 1823), Cromwell (drama de 1827), Notre-Dame de Paris (romance de 1831), Le Roi samuse (drama de 1833) e LHomme qui rit (1869), foi feito um levantamento das personagens, imagens e referências relativas à figura do bufão, a fim de compreender como suas diversas representações dialogam entre si e com o imaginário do autor. Em um segundo momento, procedeu-se ao estudo do aparato crítico utilizado para analisar tal figura, notadamente estudos de Sodré, Paiva, Rosenfeld e Kayser, referentes às teorias do grotesco e os estudos de Durand e Sartre, referentes ao imaginário. Paralelamente, efetuou-se a catalogação e a análise de todo o acervo pictórico hugoano referente ao bufão, com o seu posterior cotejo às figuras já catalogadas nos textos literários. No que tange às obras pictóricas, ansiou-se desvendar o seu papel dentro do corpus literário analisado, para o que foram utilizados os estudos de Georgel."
Resultados," Pôde-se apreender que o imaginário hugoano em torno da figura do bufão atinge seu ápice durante a gênese do romance LHomme qui rit (julho de 1866 a agosto de 1868), representado pelas personagens Gwynplaine e Barkilphedro, no tocante ao texto literário, e pelas telas Personnage de profil à gauche (Personagem de perfil à esquerda, 1866) e LEnvieux/Barkilphedro (O Invejoso/Barkilphedro 1869), no tocante ao texto pictórico. Há uma proposta literária hugoana que transcende o texto literário, abarca o texto pictórico e compõe o imaginário de Hugo em torno da figura do bufão. A partir do cotejo desses dois sistemas semióticos, a literatura e a pintura, pudemos mapear o imaginário hugoano relativo à figura do bufão e compreender em quais pontos o texto literário e o texto pictórico convergem, divergem e se complementam dentro do projeto de Victor Hugo."
Conclusão," Pôde-se apreender que o imaginário hugoano em torno da figura do bufão atinge seu ápice durante a gênese do romance LHomme qui rit (julho de 1866 a agosto de 1868), representado pelas personagens Gwynplaine e Barkilphedro, no tocante ao texto literário, e pelas telas Personnage de profil à gauche (Personagem de perfil à esquerda, 1866) e LEnvieux/Barkilphedro (O Invejoso/Barkilphedro 1869), no tocante ao texto pictórico. Há uma proposta literária hugoana que transcende o texto literário, abarca o texto pictórico e compõe o imaginário de Hugo em torno da figura do bufão. A partir do cotejo desses dois sistemas semióticos, a literatura e a pintura, pudemos mapear o imaginário hugoano relativo à figura do bufão e compreender em quais pontos o texto literário e o texto pictórico convergem, divergem e se complementam dentro do projeto de Victor Hugo."
Palavras-Chave, Literatura hugoana - obra pictórica - bufão - grotesco - imaginário
Colaboradores, Esta pesquisa contou com o apoio institucional do Teoria Literária e Literaturas (TEL) da Universidade de Brasília (UnB).
A elaboração de mídias para o ensino de português como segunda língua, blogs e sites nas práticas de sala de aula
Bolsista, Guilherme dos Reis Rodrigues
Unidade Acadêmica," Lingüística, Português, Línguas Clássicas "
Instituição, UnB
Orientador (a), JANAÍNA DE AQUINO FERRAZ
Introdução,
Metodologia,
Resultados,
Conclusão,
Palavras-Chave,
Colaboradores,
Avaliação das condições de coagulação de água do Lago Paranoá/DF com turbidez e cor variáveis empregando quitosana como coagulante.,TituloTrabalho
Bolsista, Guilherme Galvao Ferraz
Unidade Acadêmica, Engenharia Civil e Ambiental 
Instituição, UnB
Orientador (a), YOVANKA PEREZ GINORIS
Introdução," A água para consumo humano deve apresentar características físicas, químicas e microbiológicas que obedeçam ao padrão de potabilidade e de vigilância da qualidade da água vigente no Brasil. Para obter-se uma melhor eficiência na remoção da turbidez mediante as tecnologias de filtração direta usam-se coagulantes que antecede a etapa de filtração, favorecendo a formação de flocos pequenos e resistentes capazes de serem retidos no meio filtrante. O coagulante mais usado é o sulfato de alumínio, mas o seu uso traz vários problemas. Então vários coagulantes alternativos veem sendo pesquisados, dentre eles o polímero natural quitosana tem sido o grande destaque, mesmo sendo escassos os trabalhos com tal polímero. A presente proposta tem como objetivo principal avaliar as condições de coagulação que antecedem a filtração direta ascendente de água do Lago Paranoá/DF com turbidez variável empregando a quitosana como coagulante no lugar do sulfato de alumínio."
Metodologia," Os experimentos foram realizados em escala de bancada usando água do Lago Paranoá/DF. Para a determinação das condições ótimas de coagulação na época de chuva, empregando quitosana como coagulante, foram realizados testes de jarros em Jartest adaptado para filtração direta. A etapa de coagulação foi realizada usando gradiente de velocidade (G) de 1000 s-1 e tempo de coagulação de 30 s. Após a coagulação foi efetuada a floculação empregando G de 40 s-1 por 4 minutos. Após as etapas de coagulação e floculação a agitação era mantida. A partir desse momento iniciava-se a filtração nos filtros de laboratório de areia. Durante os primeiros 20 minutos o filtrado era descartado e as vazões através dos filtros eram monitoradas e mantidas constantes. Então, realizava-se a coleta do filtrado para análise da turbidez residual. Para a construção do diagrama de coagulação para a água do lago Paranoá, foram avaliadas dosagens de quitosana de 1 a 5 mg/L e valores pH de coagulação entre 5,0 e 7,5."
Resultados," A água bruta in natura, coletada na estação experimental da UnB localizada no braço norte do Lago Paranoá, para a realização dos ensaios de teste de jarros, apresentou turbidez de 2,76 uT, alcalinidade de 17,0 mg CaCO3/L e pH 6,9. O diagrama de coagulação foi construído com base nos resultados de turbidez residual obtidos em cada condição de coagulação testada. As regiões de coagulação otimizadas foram selecionadas tendo como meta de qualidade a produção de água filtrada nos filtros de laboratório de areia com turbidez = 0,5 uT. A partir do diagrama de coagulação, foi verificado que para doses de quitosana a partir de 0,7 mg/L e pH de coagulação entre 5,5 e 7,5 é possível obter níveis do turbidez residual no efluente filtrado menores que 0,5 uT. Ainda o diagrama de coagulação permitiu definir uma região de coagulação otimizada com doses de quitosana entre 0,8 e 2 mg/L e valores de pH entre 5,7 e 7,0 em que os valores de turbidez residual são menores que 0,3 uT"
Conclusão," A água bruta in natura, coletada na estação experimental da UnB localizada no braço norte do Lago Paranoá, para a realização dos ensaios de teste de jarros, apresentou turbidez de 2,76 uT, alcalinidade de 17,0 mg CaCO3/L e pH 6,9. O diagrama de coagulação foi construído com base nos resultados de turbidez residual obtidos em cada condição de coagulação testada. As regiões de coagulação otimizadas foram selecionadas tendo como meta de qualidade a produção de água filtrada nos filtros de laboratório de areia com turbidez = 0,5 uT. A partir do diagrama de coagulação, foi verificado que para doses de quitosana a partir de 0,7 mg/L e pH de coagulação entre 5,5 e 7,5 é possível obter níveis do turbidez residual no efluente filtrado menores que 0,5 uT. Ainda o diagrama de coagulação permitiu definir uma região de coagulação otimizada com doses de quitosana entre 0,8 e 2 mg/L e valores de pH entre 5,7 e 7,0 em que os valores de turbidez residual são menores que 0,3 uT"
